403,496,44,44
341,499,40,40
402,238,23,23
479,367,27,27
658,525,44,44
170,186,46,46
591,196,36,36
755,453,30,30
267,368,20,20
646,423,45,45
592,332,38,38
202,362,31,31
438,154,28,28
188,369,30,30
156,476,35,35
246,141,34,34
354,250,42,42
107,394,43,43
377,234,33,33
770,359,43,43
288,433,30,30
273,172,39,39
560,268,33,33
210,242,46,46
597,595,43,43
630,205,32,32
304,158,33,33
560,574,24,24
392,114,43,43
594,364,20,20
532,212,41,41
625,454,34,34
110,459,34,34
680,292,26,26
786,196,41,41
539,497,37,37
441,292,44,44
238,259,28,28
215,579,49,49
347,474,28,28
525,207,36,36
473,468,23,23
663,550,27,27
498,403,24,24
794,489,29,29
264,280,27,27
177,350,30,30
532,171,41,41
409,117,20,20
479,580,35,35
110,214,49,49
314,270,21,21
561,467,38,38
202,274,37,37
749,223,27,27
